Country Name,Country Code,Time,ID,Region,EAP,EECA,LAC,MENA,NAM,SA,SSA,WE,Pop,y,FinInc,GPI,FemLit,ChldMort,Waste,MSExpShr,inflation,Polity2,GINI,MedPov,NRR,ImpWat
Afghanistan,AFG,2017,AFG2017,SA,0,0,0,0,0,1,0,0,..,617.89,9.96,0.52,17.61,70.40,8.60,4.28,2.17,-1.00,..,..,0.70,55.30
Albania,ALB,2017,ALB2017,EECA,0,1,0,0,0,0,0,0,..,4684.97,37.99,1.00,96.14,13.50,9.40,33.31,1.28,9.00,29.00,7.70,1.78,95.10
Algeria,DZA,2017,DZA2017,MENA,0,0,0,1,1,0,0,0,..,4827.72,50.48,0.96,67.55,25.20,4.10,3.01,4.78,2.00,27.60,3.90,11.99,83.60
American Samoa,ASM,2017,ASM2017,EAP,1,0,0,0,0,0,0,0,..,9614.47,..,..,..,..,..,..,..,..,..,..,0.00,100.00
Andorra,AND,2017,AND2017,WE,0,0,0,0,0,0,0,1,..,42681.60,..,1.00,100.00,2.70,..,..,..,..,..,..,0.00,100.00
Angola,AGO,2017,AGO2017,SSA,0,0,0,0,0,0,1,0,..,3582.65,29.32,0.83,53.41,82.50,8.20,1.70,34.74,-2.00,42.70,55.70,11.25,49.00
Antigua and Barbuda,ATG,2017,ATG2017,LAC,0,0,1,0,0,0,0,0,..,13315.51,..,..,99.42,8.50,..,71.33,0.97,..,..,..,0.00,97.90
Argentina,ARG,2017,ARG2017,LAC,0,0,1,0,0,0,0,0,..,10154.00,50.20,1.00,98.13,11.10,1.20,5.16,10.62,9.00,42.70,4.50,1.18,99.10
Armenia,ARM,2017,ARM2017,EECA,0,1,0,0,0,0,0,0,..,3932.55,17.67,1.00,99.69,13.40,4.20,19.21,-1.27,5.00,32.40,13.50,3.49,100.00
Aruba,ABW,2017,ABW2017,LAC,0,0,1,0,0,0,0,0,..,24271.94,..,1.00,96.72,..,..,66.07,-0.89,..,..,..,0.00,98.10
Australia,AUS,2017,AUS2017,EAP,1,0,0,0,0,0,0,0,..,55478.58,98.86,..,..,3.70,0.00,7.20,1.28,10.00,34.70,0.70,4.80,100.00
Austria,AUT,2017,AUT2017,WE,0,0,0,0,0,0,0,1,..,47996.58,96.73,..,..,3.50,..,48.46,0.86,10.00,30.50,0.20,0.13,100.00
Azerbaijan,AZE,2017,AZE2017,EECA,0,1,0,0,0,0,0,0,..,5861.51,29.15,1.00,99.72,30.90,3.10,9.06,4.18,-7.00,31.80,2.70,13.36,87.00
"Bahamas, The",BHS,2017,BHS2017,LAC,0,0,1,0,0,0,0,0,..,19991.09,..,..,..,10.60,..,29.02,-0.35,..,..,..,0.02,98.40
Bahrain,BHR,2017,BHR2017,MENA,0,0,0,1,1,0,0,0,..,22436.21,81.94,0.99,91.61,7.60,6.60,20.19,1.84,-10.00,..,..,4.95,100.00
Bangladesh,BGD,2017,BGD2017,SA,0,0,0,0,0,1,0,0,..,1029.58,30.99,1.03,69.90,34.20,14.30,16.35,5.51,1.00,32.10,59.20,1.03,86.90
Barbados,BRB,2017,BRB2017,LAC,0,0,1,0,0,0,0,0,..,16242.77,..,1.00,99.25,12.30,6.80,34.98,-1.06,..,..,..,0.05,99.70
Belarus,BLR,2017,BLR2017,EECA,0,1,0,0,0,0,0,0,..,6221.37,71.98,1.00,99.49,3.90,2.20,41.63,11.84,-7.00,26.70,0.00,1.01,99.70
Belgium,BEL,2017,BEL2017,WE,0,0,0,0,0,0,0,1,..,45469.71,98.13,..,..,3.90,..,89.39,1.98,8.00,28.10,0.20,0.02,100.00
Belize,BLZ,2017,BLZ2017,LAC,0,0,1,0,0,0,0,0,..,4328.02,48.21,1.01,70.33,14.90,3.30,30.58,-0.89,..,53.30,28.40,0.82,99.50
Benin,BEN,2017,BEN2017,SSA,0,0,0,0,0,0,1,0,..,837.34,16.62,0.64,22.09,97.60,4.50,6.24,-0.93,7.00,47.80,76.20,6.73,77.90
Bermuda,BMU,2017,BMU2017,NAM,0,0,0,0,0,0,0,0,..,79251.78,..,..,..,..,..,30.59,..,..,..,..,0.00,..
Bhutan,BTN,2017,BTN2017,SA,0,0,0,0,0,1,0,0,..,2801.28,33.67,0.93,48.02,32.40,5.90,19.57,3.29,5.00,38.80,14.50,5.52,100.00
Bolivia,BOL,2017,BOL2017,LAC,0,0,1,0,0,0,0,0,..,2457.63,41.80,1.00,88.58,36.90,1.40,5.05,3.63,7.00,45.80,12.90,7.92,90.00
